tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
1,16,1,1,1,1,1,1,1,1
2,24,1,1,1,1,1,1,1,1
3,18,1,1,1,1,1,1,1,1
4,28,1,1,1,1,1,1,1,1
5,19,1,1,1,1,1,1,1,1
6,37,1,1,1,1,1,1,1,1
7,22,1,1,1,1,1,1,1,1
8,28,1,1,1,1,1,1,1,1
9,25,1,1,1,1,1,1,1,1
10,32,1,1,1,1,1,1,1,1
11,37,1,1,1,1,1,1,1,1
12,22,1,1,1,1,1,1,1,1
13,21,1,1,1,1,1,1,1,1
14,26,1,1,1,1,1,1,1,1
15,3,1,1,1,1,1,1,1,1
16,16,1,1,1,1,1,1,1,1
17,27,1,1,1,1,1,1,1,1
18,29,1,1,1,1,1,1,1,1
19,13,1,1,1,1,1,1,1,1
20,24,1,1,1,1,1,1,1,1
21,20,1,1,1,1,1,1,1,1
22,29,1,1,1,1,1,1,1,1
23,35,1,1,1,1,1,1,1,1
24,28,1,1,1,1,1,1,1,1
25,32,1,1,1,1,1,1,1,1
26,12,1,1,1,1,1,1,1,1
27,4,1,1,1,1,1,1,1,1
28,27,1,1,1,1,1,1,1,1
29,6,1,1,1,1,1,1,1,1
30,23,1,1,1,1,1,1,1,1
31,30,1,1,1,1,1,1,1,1
32,2,1,1,1,1,1,1,1,1
33,9,1,1,1,1,1,1,1,1
34,19,1,1,1,1,1,1,1,1
35,3,1,1,1,1,1,1,1,1
36,30,1,1,1,1,1,1,1,1
37,24,1,1,1,1,1,1,1,1
38,28,1,1,1,1,1,1,1,1
39,26,1,1,1,1,1,1,1,1
40,14,1,1,1,1,1,1,1,1
41,6,1,1,1,1,1,1,1,1
42,20,1,1,1,1,1,1,1,1
43,11,1,1,1,1,1,1,1,1
44,16,1,1,1,1,1,1,1,1
45,9,1,1,1,1,1,1,1,1
46,4,1,1,1,1,1,1,1,1
47,20,1,1,1,1,1,1,1,1
48,35,1,1,1,1,1,1,1,1
49,11,1,1,1,1,1,1,1,1
50,35,1,1,1,1,1,1,1,1
51,36,1,1,1,1,1,1,1,1
52,35,1,1,1,1,1,1,1,1
53,10,1,1,1,1,1,1,1,1
54,21,1,1,1,1,1,1,1,1
55,33,1,1,1,1,1,1,1,1
56,2,1,1,1,1,1,1,1,1
57,15,1,1,1,1,1,1,1,1
58,8,1,1,1,1,1,1,1,1
59,7,1,1,1,1,1,1,1,1
60,19,1,1,1,1,1,1,1,1
61,29,1,1,1,1,1,1,1,1
62,15,1,1,1,1,1,1,1,1
63,15,1,1,1,1,1,1,1,1
64,18,1,1,1,1,1,1,1,1
65,35,1,1,1,1,1,1,1,1
66,10,1,1,1,1,1,1,1,1
67,24,1,1,1,1,1,1,1,1
68,24,1,1,1,1,1,1,1,1
69,21,1,1,1,1,1,1,1,1
70,32,1,1,1,1,1,1,1,1
71,37,1,1,1,1,1,1,1,1
72,20,1,1,1,1,1,1,1,1
73,31,1,1,1,1,1,1,1,1
74,7,1,1,1,1,1,1,1,1
75,36,1,1,1,1,1,1,1,1
76,11,1,1,1,1,1,1,1,1
77,4,1,1,1,1,1,1,1,1
78,36,1,1,1,1,1,1,1,1
79,27,1,1,1,1,1,1,1,1
80,18,1,1,1,1,1,1,1,1
81,37,1,1,1,1,1,1,1,1
82,26,1,1,1,1,1,1,1,1
83,20,1,1,1,1,1,1,1,1
84,10,1,1,1,1,1,1,1,1
85,16,1,1,1,1,1,1,1,1
86,36,1,1,1,1,1,1,1,1
87,17,1,1,1,1,1,1,1,1
88,3,1,1,1,1,1,1,1,1
89,6,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1
91,4,1,1,1,1,1,1,1,1
92,25,1,1,1,1,1,1,1,1
93,18,1,1,1,1,1,1,1,1
94,22,1,1,1,1,1,1,1,1
95,17,1,1,1,1,1,1,1,1
96,9,1,1,1,1,1,1,1,1
97,36,1,1,1,1,1,1,1,1
98,24,1,1,1,1,1,1,1,1
99,30,1,1,1,1,1,1,1,1
100,37,1,1,1,1,1,1,1,1
101,37,1,1,1,1,1,1,1,1
102,29,1,1,1,1,1,1,1,1
103,15,1,1,1,1,1,1,1,1
104,20,1,1,1,1,1,1,1,1
105,37,1,1,1,1,1,1,1,1
106,14,1,1,1,1,1,1,1,1
107,12,1,1,1,1,1,1,1,1
108,12,1,1,1,1,1,1,1,1
109,25,1,1,1,1,1,1,1,1
110,36,1,1,1,1,1,1,1,1
111,25,1,1,1,1,1,1,1,1
112,22,1,1,1,1,1,1,1,1
113,13,1,1,1,1,1,1,1,1
114,36,1,1,1,1,1,1,1,1
115,16,1,1,1,1,1,1,1,1
116,3,1,1,1,1,1,1,1,1
117,9,1,1,1,1,1,1,1,1
118,25,1,1,1,1,1,1,1,1
119,9,1,1,1,1,1,1,1,1
120,16,1,1,1,1,1,1,1,1
121,20,1,1,1,1,1,1,1,1
122,17,1,1,1,1,1,1,1,1
123,3,1,1,1,1,1,1,1,1
124,13,1,1,1,1,1,1,1,1
125,26,1,1,1,1,1,1,1,1
126,2,1,1,1,1,1,1,1,1
127,24,1,1,1,1,1,1,1,1
128,25,1,1,1,1,1,1,1,1
129,2,1,1,1,1,1,1,1,1
130,13,1,1,1,1,1,1,1,1
131,3,1,1,1,1,1,1,1,1
132,22,1,1,1,1,1,1,1,1
133,2,1,1,1,1,1,1,1,1
134,4,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1,1
137,12,1,1,1,1,1,1,1,1
138,31,1,1,1,1,1,1,1,1
139,34,1,1,1,1,1,1,1,1
140,34,1,1,1,1,1,1,1,1
141,35,1,1,1,1,1,1,1,1
142,2,1,1,1,1,1,1,1,1
143,33,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1,1
145,20,1,1,1,1,1,1,1,1
146,28,1,1,1,1,1,1,1,1
147,11,1,1,1,1,1,1,1,1
148,23,1,1,1,1,1,1,1,1
149,3,1,1,1,1,1,1,1,1
150,25,1,1,1,1,1,1,1,1
151,32,1,1,1,1,1,1,1,1
152,29,1,1,1,1,1,1,1,1
153,14,1,1,1,1,1,1,1,1
154,29,1,1,1,1,1,1,1,1
155,16,1,1,1,1,1,1,1,1
156,2,1,1,1,1,1,1,1,1
157,10,1,1,1,1,1,1,1,1
158,10,1,1,1,1,1,1,1,1
159,5,1,1,1,1,1,1,1,1
160,19,1,1,1,1,1,1,1,1
161,32,1,1,1,1,1,1,1,1
162,36,1,1,1,1,1,1,1,1
163,7,1,1,1,1,1,1,1,1
164,5,1,1,1,1,1,1,1,1
165,5,1,1,1,1,1,1,1,1
166,33,1,1,1,1,1,1,1,1
167,28,1,1,1,1,1,1,1,1
168,30,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1
170,36,1,1,1,1,1,1,1,1
171,3,1,1,1,1,1,1,1,1
172,27,1,1,1,1,1,1,1,1
173,29,1,1,1,1,1,1,1,1
174,28,1,1,1,1,1,1,1,1
175,36,1,1,1,1,1,1,1,1
176,12,1,1,1,1,1,1,1,1
177,5,1,1,1,1,1,1,1,1
178,22,1,1,1,1,1,1,1,1
179,17,1,1,1,1,1,1,1,1
180,31,1,1,1,1,1,1,1,1
181,17,1,1,1,1,1,1,1,1
182,34,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1,1
184,32,1,1,1,1,1,1,1,1
185,15,1,1,1,1,1,1,1,1
186,21,1,1,1,1,1,1,1,1
187,31,1,1,1,1,1,1,1,1
188,8,1,1,1,1,1,1,1,1
189,9,1,1,1,1,1,1,1,1
190,24,1,1,1,1,1,1,1,1
191,20,1,1,1,1,1,1,1,1
192,3,1,1,1,1,1,1,1,1
193,7,1,1,1,1,1,1,1,1
194,35,1,1,1,1,1,1,1,1
195,11,1,1,1,1,1,1,1,1
196,9,1,1,1,1,1,1,1,1
197,28,1,1,1,1,1,1,1,1
198,20,1,1,1,1,1,1,1,1
199,37,1,1,1,1,1,1,1,1
200,33,1,1,1,1,1,1,1,1
201,3,1,1,1,1,1,1,1,1
202,20,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1,1
204,14,1,1,1,1,1,1,1,1
205,14,1,1,1,1,1,1,1,1
206,19,1,1,1,1,1,1,1,1
207,33,1,1,1,1,1,1,1,1
208,36,1,1,1,1,1,1,1,1
209,24,1,1,1,1,1,1,1,1
210,3,1,1,1,1,1,1,1,1
211,27,1,1,1,1,1,1,1,1
212,10,1,1,1,1,1,1,1,1
213,15,1,1,1,1,1,1,1,1
214,3,1,1,1,1,1,1,1,1
215,21,1,1,1,1,1,1,1,1
216,26,1,1,1,1,1,1,1,1
217,28,1,1,1,1,1,1,1,1
218,33,1,1,1,1,1,1,1,1
219,5,1,1,1,1,1,1,1,1
220,29,1,1,1,1,1,1,1,1
221,29,1,1,1,1,1,1,1,1
222,19,1,1,1,1,1,1,1,1
223,16,1,1,1,1,1,1,1,1
